prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000111,벽걸이캘린더,SIZ_000289,214x301,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000111,벽걸이캘린더,SIZ_000291,304x424,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000112,와이드벽걸이캘린더,SIZ_000292,304x629,330x660,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000118,아트프린트포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000118,아트프린트포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000118,아트프린트포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000119,아트페이퍼포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000119,아트페이퍼포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000119,아트페이퍼포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000120,방수포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000120,방수포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000120,방수포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000121,접착방수포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000121,접착방수포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000121,접착방수포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000122,접착투명포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000122,접착투명포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000122,접착투명포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000123,아트패브릭포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000123,아트패브릭포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000123,아트패브릭포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000124,린넨패브릭포스터,SIZ_000052,297x420,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000124,린넨패브릭포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000124,린넨패브릭포스터,SIZ_000054,420x297,316x467,,PRD_TYPE.04,N,N
