comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,160,5700.00,권위 스티커 r32 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,32
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,175,5500.00,권위 스티커 r33 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,33
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,180,5500.00,권위 스티커 r34 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,34
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,200,5300.00,권위 스티커 r35 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,35
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,250,5100.00,권위 스티커 r36 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,36
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,300,4900.00,권위 스티커 r37 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,37
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,350,4700.00,권위 스티커 r38 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,38
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,400,4500.00,권위 스티커 r39 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,39
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,450,4500.00,권위 스티커 r40 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,40
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,500,4500.00,권위 스티커 r41 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,41
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000609,100000,4500.00,권위 스티커 r42 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,42
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000611,1,6700.00,권위 스티커 r7 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,7
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000611,2,6700.00,권위 스티커 r8 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,8
